unique_id,ds,cutoff,y,Naive,LastWeek,LastMonth,AutoETSWeek,AutoETSMonth,MSTLWeek,MSTLMonth,AutoARIMAWeek,AutoARIMAMonth
hotel_0,2023-02-11,2023-02-10,0.8271604938271605,0.691358024691358,0.9876543209876543,0.49382716049382713,0.798058285268101,0.7277518609552107,0.7794354923470524,0.7580665525226337,0.7770533218984389,0.747773023872225
hotel_0,2023-02-12,2023-02-10,0.5185185185185185,0.691358024691358,0.6049382716049383,0.7901234567901234,0.5922565279964805,0.7277518609552107,0.47012059888743196,0.8096851221416355,0.6124081036931255,0.7172173265197843
hotel_0,2023-02-13,2023-02-10,0.6296296296296297,0.691358024691358,0.9135802469135802,0.9382716049382716,0.6117565108719498,0.7277518609552107,0.6230710910384294,0.8235968013957556,0.7987564556646163,0.7059933323996499
hotel_0,2023-02-14,2023-02-10,0.6296296296296297,0.691358024691358,0.7160493827160493,0.6049382716049383,0.6250619035875944,0.7277518609552107,0.6025885854779351,0.8073780600613588,0.785560249533873,0.7376550476750123
hotel_0,2023-02-15,2023-02-10,0.8888888888888888,0.691358024691358,0.6666666666666666,0.4691358024691358,0.6166072025877469,0.7277518609552107,0.6241975558516591,0.7601019226504102,0.7933387196563798,0.723279991128233
hotel_0,2023-02-16,2023-02-10,0.9876543209876543,0.691358024691358,0.8395061728395061,0.5679012345679012,0.6569886537634391,0.7277518609552107,0.6686404393175288,0.7273358234744328,0.8256211365885748,0.7915436144284126
hotel_0,2023-02-17,2023-02-10,0.9876543209876543,0.691358024691358,0.691358024691358,0.6666666666666666,0.7656860092707898,0.7277518609552107,0.7416972348775843,0.8091604688151643,0.8469629935793932,0.7699987780817623
hotel_0,2023-02-18,2023-02-10,1.0,0.691358024691358,0.9876543209876543,0.6419753086419753,0.798058285268101,0.7277518609552107,0.7794354923470524,0.8100491873277125,0.8677479876837008,0.7797105016122132
hotel_0,2023-02-19,2023-02-10,0.9876543209876543,0.691358024691358,0.6049382716049383,0.7530864197530864,0.5922565279964805,0.7277518609552107,0.47012059888743196,0.7343712728889069,0.6831440531180265,0.7755598481017524
hotel_0,2023-02-20,2023-02-10,0.8641975308641975,0.691358024691358,0.9135802469135802,0.7777777777777778,0.6117565108719498,0.7277518609552107,0.6230710910384294,0.783748679618345,0.8334371927412338,0.74678558818592
hotel_0,2023-02-21,2023-02-10,0.9876543209876543,0.691358024691358,0.7160493827160493,0.654320987654321,0.6250619035875944,0.7277518609552107,0.6025885854779351,0.7503385343464506,0.8035957479028866,0.7716271566151027
hotel_0,2023-02-22,2023-02-10,0.9876543209876543,0.691358024691358,0.6666666666666666,0.8024691358024691,0.6166072025877469,0.7277518609552107,0.6241975558516591,0.7538619439400686,0.8006877066107718,0.7550138560302514
hotel_0,2023-02-23,2023-02-10,0.9876543209876543,0.691358024691358,0.8395061728395061,0.8641975308641975,0.6569886537634391,0.7277518609552107,0.6686404393175288,0.7364345460884522,0.8383562721763582,0.7534810679666392
hotel_0,2023-02-24,2023-02-10,0.9876543209876543,0.691358024691358,0.691358024691358,0.9506172839506173,0.7656860092707898,0.7277518609552107,0.7416972348775843,0.7047009123663427,0.8442824681082904,0.7238334276055576
hotel_0,2023-02-25,2023-02-10,0.9876543209876543,0.691358024691358,0.9876543209876543,0.8765432098765432,0.798058285268101,0.7277518609552107,0.7794354923470524,0.6606787767221136,0.8672402060639162,0.7102930242230727
hotel_0,2023-02-26,2023-02-10,0.7654320987654321,0.691358024691358,0.6049382716049383,0.9135802469135802,0.5922565279964805,0.7277518609552107,0.47012059888743196,0.7586543988798027,0.7039851993677593,0.6595072954497032
hotel_0,2023-02-27,2023-02-10,0.6666666666666666,0.691358024691358,0.9135802469135802,0.8271604938271605,0.6117565108719498,0.7277518609552107,0.6230710910384294,0.7556169625977792,0.8402425593734169,0.6481213636514322
hotel_0,2023-02-28,2023-02-10,0.7160493827160493,0.691358024691358,0.7160493827160493,0.5432098765432098,0.6250619035875944,0.7277518609552107,0.6025885854779351,0.735836042382415,0.8147334026438313,0.6950141670219376
hotel_0,2023-03-01,2023-02-10,0.8395061728395061,0.691358024691358,0.6666666666666666,0.9876543209876543,0.6166072025877469,0.7277518609552107,0.6241975558516591,0.8349833588237725,0.8129054262941151,0.6167685310832143
hotel_0,2023-03-02,2023-02-10,0.8271604938271605,0.691358024691358,0.8395061728395061,0.9876543209876543,0.6569886537634391,0.7277518609552107,0.6686404393175288,0.8379409994851569,0.8460247992980974,0.7013900002822602
hotel_0,2023-03-03,2023-02-10,0.9876543209876543,0.691358024691358,0.691358024691358,0.9135802469135802,0.7656860092707898,0.7277518609552107,0.7416972348775843,0.7911004540575066,0.8523667948954624,0.7176056051918959
hotel_0,2023-03-04,2023-02-10,0.9753086419753086,0.691358024691358,0.9876543209876543,0.9382716049382716,0.798058285268101,0.7277518609552107,0.7794354923470524,0.716129496794935,0.872636933088949,0.7205517941028675
hotel_0,2023-03-05,2023-02-10,0.8148148148148148,0.691358024691358,0.6049382716049383,0.9382716049382716,0.5922565279964805,0.7277518609552107,0.47012059888743196,0.7497353672039362,0.7259095048380031,0.7297909542105844
