unique_id,ds,cutoff,y,Chronos,Moirai,TimesFM-2.5,TabPFN
hotel_105,2023-03-04,2023-02-10,0.7924528301886793,0.8267535,0.80901575,0.921167,0.9379913806915284
hotel_105,2023-03-05,2023-02-10,0.5283018867924528,0.6831703,0.81134844,0.6668879,0.6387958526611328
hotel_105,2023-03-06,2023-02-10,0.6540880503144654,0.6690811,0.74261403,0.66782904,0.6753761172294617
hotel_105,2023-03-07,2023-02-10,0.7295597484276729,0.71405554,0.75975287,0.7368051,0.7811885476112366
hotel_105,2023-03-08,2023-02-10,0.7358490566037735,0.73722273,0.7634841,0.7260231,0.8023734092712402
hotel_105,2023-03-09,2023-02-10,0.6729559748427673,0.7796157,0.7395061,0.76277447,0.7794224619865417
hotel_105,2023-03-10,2023-02-10,0.7924528301886793,0.8653807,0.813887,0.87790906,0.9112060070037842
hotel_112,2023-02-11,2023-02-10,0.75,0.91080624,0.927079,0.89061,0.9446769952774048
hotel_112,2023-02-12,2023-02-10,0.93125,0.89529914,0.9070166,0.8687991,0.9272441864013672
hotel_112,2023-02-13,2023-02-10,0.84375,0.8867325,0.8882833,0.8963592,0.9483820199966432
hotel_112,2023-02-14,2023-02-10,0.8875,0.8886126,0.90148914,0.9122191,0.9552758932113647
hotel_112,2023-02-15,2023-02-10,0.84375,0.8888111,0.94292575,0.9248681,0.9585540294647216
hotel_112,2023-02-16,2023-02-10,0.96875,0.89024943,0.9098291,0.9174751,0.9604027271270752
hotel_112,2023-02-17,2023-02-10,0.99375,0.8814998,0.93571395,0.8936342,0.9401636123657228
hotel_112,2023-02-18,2023-02-10,0.80625,0.86664164,0.9086646,0.8667126,0.9334871172904968
hotel_112,2023-02-19,2023-02-10,0.61875,0.8586841,0.88070923,0.85064447,0.9171464443206788
hotel_112,2023-02-20,2023-02-10,0.84375,0.86776197,0.93633854,0.8823694,0.9487326741218568
hotel_112,2023-02-21,2023-02-10,0.76875,0.8800818,0.90638113,0.8990827,0.962134599685669
hotel_112,2023-02-22,2023-02-10,0.65625,0.889123,0.8835307,0.915837,0.9662762880325316
hotel_112,2023-02-23,2023-02-10,0.6625,0.8898052,0.9021916,0.91119015,0.9650440216064452
hotel_112,2023-02-24,2023-02-10,0.86875,0.8831182,0.9080359,0.8939927,0.9367722272872924
hotel_112,2023-02-25,2023-02-10,0.93125,0.8736487,0.8678477,0.8697002,0.9340415596961976
hotel_112,2023-02-26,2023-02-10,0.84375,0.8821519,0.8939939,0.85963094,0.917750597000122
hotel_112,2023-02-27,2023-02-10,0.875,0.8968933,0.89959574,0.8912036,0.9389797449111938
hotel_112,2023-02-28,2023-02-10,0.9375,0.91384304,0.8978729,0.9065388,0.953075110912323
hotel_112,2023-03-01,2023-02-10,0.8875,0.9193664,0.91757065,0.9232712,0.9489238262176514
hotel_112,2023-03-02,2023-02-10,0.7625,0.916315,0.9070676,0.91976064,0.9381104707717896
hotel_112,2023-03-03,2023-02-10,0.81875,0.90421855,0.9428107,0.8999089,0.902600109577179
hotel_112,2023-03-04,2023-02-10,0.88125,0.8967018,0.8931794,0.87496966,0.9025631546974182
hotel_112,2023-03-05,2023-02-10,0.90625,0.89406055,0.8945431,0.8643044,0.8907177448272705
hotel_112,2023-03-06,2023-02-10,0.8875,0.8985422,0.9092647,0.8961359,0.9204420447349548
hotel_112,2023-03-07,2023-02-10,0.79375,0.9039304,0.9150221,0.9104388,0.936013638973236
hotel_112,2023-03-08,2023-02-10,0.975,0.90693754,0.9230225,0.92697793,0.9405527710914612
hotel_112,2023-03-09,2023-02-10,0.7875,0.8994112,0.9190702,0.9226017,0.9341623187065125
hotel_112,2023-03-10,2023-02-10,0.925,0.88917446,0.94592166,0.9024699,0.9077503085136414
hotel_126,2023-02-11,2023-02-10,0.9880478087649402,0.89676833,0.9339009,0.9554362,0.9736711382865906
hotel_126,2023-02-12,2023-02-10,0.7649402390438247,0.9067471,0.9558852,0.8960612,0.948853313922882
hotel_126,2023-02-13,2023-02-10,0.7250996015936255,0.9145072,0.9511964,0.8931874,0.9477060437202454
hotel_126,2023-02-14,2023-02-10,0.7290836653386454,0.9165806,0.94717956,0.9269798,0.9615511298179626
hotel_126,2023-02-15,2023-02-10,0.6374501992031872,0.9160058,0.95093477,0.9292027,0.9598219394683838
hotel_126,2023-02-16,2023-02-10,0.9920318725099602,0.9227824,0.9302033,0.9512361,0.9552820920944214
hotel_126,2023-02-17,2023-02-10,0.9760956175298804,0.9258101,0.9430837,0.98750234,0.9720779657363892
hotel_126,2023-02-18,2023-02-10,0.99601593625498,0.92234886,0.9397483,0.9976063,0.9791407585144044
hotel_126,2023-02-19,2023-02-10,1.0,0.9152417,0.93381673,0.9326558,0.8974381685256958
hotel_126,2023-02-20,2023-02-10,1.0,0.9113194,0.9283548,0.91710925,0.891745388507843
hotel_126,2023-02-21,2023-02-10,0.99601593625498,0.91230226,0.9478867,0.9307189,0.9144093990325928
hotel_126,2023-02-22,2023-02-10,0.9920318725099602,0.9151843,0.939986,0.9355366,0.9188353419303894
